Judge_Model,Theme,Genre,Novel,Curve_Type,Story_ID,RAF_NoCritic_Count,RAF_NoCritic_RE,RAF_NoCritic_CH,RAF_NoCritic_EM,RAF_NoCritic_SU,RAF_NoCritic_EG,RAF_NoCritic_CX,RAF_NoCritic_OV,RAF_Critic_Count,RAF_Critic_RE,RAF_Critic_CH,RAF_Critic_EM,RAF_Critic_SU,RAF_Critic_EG,RAF_Critic_CX,RAF_Critic_OV,AVL_NoCritic_Count,AVL_NoCritic_RE,AVL_NoCritic_CH,AVL_NoCritic_EM,AVL_NoCritic_SU,AVL_NoCritic_EG,AVL_NoCritic_CX,AVL_NoCritic_OV,AVL_Critic_Count,AVL_Critic_RE,AVL_Critic_CH,AVL_Critic_EM,AVL_Critic_SU,AVL_Critic_EG,AVL_Critic_CX,AVL_Critic_OV
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_2_Story_3,Curve_2,Story_3,9,5.0,5.0,5.0,3.0,5.0,4.0,4.5,6,5.0,5.0,5.0,2.8333,5.0,4.0,4.4722,9,5.0,5.0,5.0,2.8889,4.8889,4.1111,4.4815,6,5.0,5.0,5.0,3.0,5.0,4.0,4.5
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_3_Story_1,Curve_3,Story_1,5,5.0,4.8,4.2,2.8,4.8,3.8,4.2333,3,5.0,5.0,4.3333,3.0,5.0,4.0,4.3889,9,5.0,4.8889,4.4444,3.2222,4.8889,4.0,4.4074,11,5.0,4.9091,4.2727,3.0909,4.5455,4.0,4.303
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_3_Story_2,Curve_3,Story_2,9,5.0,5.0,4.0,3.0,4.6667,4.0,4.2778,6,5.0,5.0,4.0,3.0,4.6667,4.0,4.2778,7,5.0,5.0,4.5714,3.4286,4.5714,3.8571,4.4048,8,4.875,5.0,4.0,3.0,4.75,4.0,4.2708
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_3_Story_3,Curve_3,Story_3,9,5.0,5.0,4.2222,3.0,4.5556,3.8889,4.2778,7,5.0,5.0,4.1429,3.0,4.7143,3.8571,4.2857,7,5.0,4.8571,4.0,3.0,4.5714,4.1429,4.2619,6,5.0,5.0,4.0,3.0,4.5,4.0,4.25
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_3_Story_1,Curve_3,Story_1,5,4.4,4.0,4.0,3.4,4.2,4.0,4.1267,3,4.6667,3.3333,4.0,3.3333,4.3333,3.6667,4.1111,9,4.5556,5.0,4.1111,3.2222,4.1111,4.0,4.1667,11,4.6364,5.0,4.0,3.4545,4.4545,4.0,4.2576
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_3_Story_2,Curve_3,Story_2,9,4.5556,5.0,4.1111,3.3333,4.2222,4.0,4.2037,6,4.8333,3.3333,4.0,3.5,4.3333,4.0,4.2333,7,4.5714,4.2857,4.2857,3.4286,4.2857,4.0,4.2333,8,4.5,5.0,4.0,3.125,4.0,4.0,4.1042
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_3_Story_3,Curve_3,Story_3,9,4.6667,3.8889,4.0,3.2222,4.2222,4.0,4.1482,7,4.8571,5.0,4.1429,3.5714,4.4286,4.0,4.3333,7,4.5714,5.0,4.1429,3.4286,4.2857,4.1429,4.2619,6,4.8333,5.0,4.0,3.3333,4.1667,4.0,4.2222
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_3_Story_1,Curve_3,Story_1,5,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.0,5.0,3.6667,4.4444,9,5.0,5.0,5.0,3.0741,5.0,3.963,4.5062,11,5.0,5.0,5.0,3.0909,4.9091,3.9091,4.4849
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_3_Story_2,Curve_3,Story_2,9,5.0,5.0,5.0,2.8889,5.0,4.0,4.4815,6,5.0,5.0,5.0,3.1667,5.0,4.0,4.5278,7,5.0,5.0,5.0,3.0,5.0,3.8571,4.4762,8,5.0,5.0,5.0,3.0,5.0,3.875,4.4792
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_3_Story_3,Curve_3,Story_3,9,5.0,5.0,5.0,2.8889,5.0,4.0,4.4815,7,5.0,5.0,5.0,3.0,5.0,3.8571,4.4762,7,5.0,5.0,5.0,3.0,5.0,4.0,4.5,6,5.0,5.0,5.0,3.0,5.0,4.1667,4.5278
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_4_Story_1,Curve_4,Story_1,6,5.0,4.8333,4.1667,3.0,4.1667,4.0,4.1944,3,5.0,4.6667,4.0,3.0,4.0,4.0,4.1111,6,5.0,4.5,4.5,3.0,4.3333,4.0,4.2222,9,4.7778,4.6667,4.5556,3.0,4.4444,4.0,4.2407
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_4_Story_2,Curve_4,Story_2,4,5.0,5.0,4.0,3.0,4.0,4.0,4.1667,6,5.0,4.8333,4.3333,3.1667,4.3333,4.1667,4.3056,5,4.6,4.8,4.2,3.0,4.4,4.2,4.2,7,4.8571,4.8571,4.5714,3.2857,4.5714,3.8571,4.3333
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_4_Story_3,Curve_4,Story_3,6,5.0,4.6667,4.0,3.0,4.0,4.1667,4.1389,9,4.6667,5.0,4.3333,3.0,4.2222,3.8889,4.1852,6,4.8333,4.6667,4.3333,3.0,4.6667,4.0,4.25,6,4.8333,5.0,4.0,3.0,4.1667,3.8333,4.1389
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_4_Story_1,Curve_4,Story_1,6,4.25,4.9167,4.0833,3.25,4.25,4.0,4.125,3,4.0,5.0,4.0,3.0,4.0,4.0,4.0,6,4.5833,4.75,4.25,3.25,4.1667,4.0833,4.1806,9,4.4444,5.0,4.1111,3.3333,4.1111,4.0,4.1667
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_4_Story_2,Curve_4,Story_2,4,4.25,5.0,4.0,3.0,4.0,4.0,4.0417,6,4.3333,5.0,4.0,3.1667,4.1667,4.0,4.1111,5,4.5,3.8,4.1,3.4,4.1,4.2,4.1633,7,4.1429,4.2857,4.1429,3.1429,4.1429,4.0,4.0857
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_4_Story_3,Curve_4,Story_3,6,4.4167,4.1667,4.0833,3.25,4.1667,4.25,4.1611,9,4.3333,5.0,4.0,3.3333,4.2222,4.0,4.1481,6,4.0,5.0,4.0,3.1667,4.0,4.0,4.0278,6,4.3333,4.9167,4.1667,3.4167,4.0833,4.1667,4.1806
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_4_Story_1,Curve_4,Story_1,6,5.0,5.0,5.0,3.0,5.0,4.0,4.5,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5,6,5.0,5.0,5.0,3.0,5.0,4.1667,4.5278,9,5.0,5.0,5.0,3.0,5.0,4.0,4.5
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_4_Story_2,Curve_4,Story_2,4,5.0,5.0,5.0,3.0,5.0,4.0,4.5,6,5.0,5.0,5.0,3.1667,5.0,4.3333,4.5833,5,5.0,5.0,5.0,2.6,4.8,4.0,4.4,7,5.0,5.0,5.0,3.2857,5.0,4.0,4.5476
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_4_Story_3,Curve_4,Story_3,6,5.0,5.0,5.0,3.0,5.0,4.3333,4.5556,9,5.0,5.0,5.0,3.2222,5.0,4.2222,4.5741,6,5.0,5.0,5.0,3.0,5.0,4.0,4.5,6,5.0,5.0,5.0,3.1667,5.0,4.1667,4.5556
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_5_Story_1,Curve_5,Story_1,9,5.0,5.0,4.1111,3.0,4.3333,4.0,4.2408,7,5.0,5.0,4.0,3.0,4.4286,4.0,4.2381,9,5.0,5.0,4.3333,3.0,4.7778,4.0,4.3518,6,5.0,5.0,4.0,3.0,4.6667,3.8333,4.25
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_5_Story_2,Curve_5,Story_2,7,5.0,5.0,4.0,3.0,4.7143,4.0,4.2857,3,5.0,5.0,4.3333,3.0,4.6667,4.0,4.3333,6,5.0,5.0,4.3333,3.0,4.6667,4.0,4.3333,7,5.0,5.0,4.2857,3.2857,4.7143,4.1429,4.4048
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_5_Story_3,Curve_5,Story_3,4,5.0,5.0,4.0,3.0,4.5,4.0,4.25,8,5.0,5.0,4.125,3.0,4.75,4.0,4.3125,4,5.0,4.75,4.25,3.0,4.75,4.0,4.2916,3,5.0,5.0,4.0,3.0,4.6667,4.0,4.2778
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_5_Story_1,Curve_5,Story_1,9,4.7222,5.0,4.0556,3.3889,4.1111,4.0556,4.2222,7,4.5714,4.2857,4.0,3.2857,4.2857,4.0,4.1619,9,4.5556,5.0,4.0,3.4444,4.2222,4.0,4.2037,6,4.8333,5.0,4.0,3.5,4.5,4.0,4.3056
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_5_Story_2,Curve_5,Story_2,7,4.4286,5.0,4.0,3.4286,4.1429,4.0,4.1667,3,4.3333,5.0,4.0,3.3333,4.0,4.0,4.1111,6,4.6667,5.0,4.0,3.3889,4.3333,4.0,4.2315,7,4.5714,4.2857,4.0,3.4286,4.1429,4.0,4.1762
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_5_Story_3,Curve_5,Story_3,4,4.25,3.75,4.0,3.25,4.0,3.75,3.9833,8,5.0,4.375,4.0,3.7083,4.4583,4.0,4.3445,4,4.625,3.75,4.375,3.625,4.375,4.0,4.3,3,4.6667,5.0,4.0,3.6667,4.3333,4.0,4.2778
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_5_Story_1,Curve_5,Story_1,9,5.0,5.0,5.0,2.8889,5.0,4.0,4.4815,7,5.0,5.0,5.0,3.0,5.0,4.0,4.5,9,5.0,5.0,5.0,3.1111,5.0,4.0,4.5185,6,5.0,5.0,5.0,2.8333,5.0,4.0,4.4722
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_5_Story_2,Curve_5,Story_2,7,5.0,5.0,5.0,3.1429,5.0,4.0,4.5238,3,5.0,5.0,5.0,3.0,5.0,4.3333,4.5555,6,5.0,5.0,5.0,2.6667,5.0,3.6667,4.3889,7,5.0,5.0,5.0,3.1429,5.0,4.0,4.5238
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_5_Story_3,Curve_5,Story_3,4,5.0,5.0,5.0,3.25,5.0,3.75,4.5,8,5.0,5.0,5.0,3.0,5.0,4.0,4.5,4,5.0,5.0,5.0,3.25,5.0,4.0,4.5417,3,5.0,5.0,5.0,3.0,5.0,4.0,4.5
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_6_Story_1,Curve_6,Story_1,9,4.8889,4.8889,4.2222,3.0,4.4444,4.0,4.2407,6,5.0,5.0,4.5,3.1667,4.5,4.0,4.3611,6,5.0,5.0,4.8333,3.1667,4.8333,4.0,4.4722,13,5.0,4.9231,4.0769,3.0,4.3077,4.0769,4.2308
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_6_Story_2,Curve_6,Story_2,6,4.8333,5.0,4.1667,3.0,4.1667,3.8333,4.1667,9,4.6667,4.8889,4.1111,2.8889,4.1111,4.0,4.1111,9,4.8889,4.8889,4.2222,3.0,4.3333,4.0,4.2222,9,5.0,4.7778,4.4444,3.0,4.2222,3.8889,4.2222
gemma3:12b-it-fp16,Climate_Change,Romance,World_Curve_6_Story_3,Curve_6,Story_3,9,5.0,5.0,4.0,3.0,4.1111,4.1111,4.2037,6,5.0,4.6667,4.5,3.0,4.1667,4.0,4.2222,9,4.7778,4.6667,4.4444,3.0,4.1111,4.1111,4.1852,9,4.8889,4.8889,4.2222,3.1111,4.2222,4.1111,4.2408
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_6_Story_1,Curve_6,Story_1,9,4.3889,4.4444,4.0556,3.4444,4.1667,4.0,4.1611,6,4.75,5.0,4.0833,3.3333,4.25,4.1667,4.2639,6,4.3333,4.9167,4.1667,3.4167,4.1667,4.0833,4.1806,13,4.6154,5.0,4.0769,3.4231,4.3077,4.0,4.2372
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_6_Story_2,Curve_6,Story_2,6,4.3333,4.1667,4.0,3.3333,4.0,4.0,4.0778,9,4.0,5.0,4.0,3.0,4.0,4.0,4.0,9,4.3889,4.2222,4.2778,3.4444,4.2222,4.1111,4.1963,9,4.4444,4.3333,4.0,3.2222,4.2222,3.7778,4.0667
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,World_Curve_6_Story_3,Curve_6,Story_3,9,4.1667,4.9444,4.0556,3.2222,4.0556,4.1667,4.1019,6,4.1667,4.1667,4.0,3.3333,4.1667,4.0,4.0778,9,4.5,5.0,4.0556,3.4444,4.3889,4.0,4.2315,9,4.3333,4.3889,4.1111,3.2222,4.1667,4.1667,4.1352
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_6_Story_1,Curve_6,Story_1,9,5.0,5.0,5.0,3.1111,5.0,4.2222,4.5556,6,5.0,5.0,5.0,3.0,5.0,4.1667,4.5278,6,5.0,5.0,5.0,3.0,5.0,4.0,4.5,13,5.0,5.0,5.0,2.7692,4.9231,3.8462,4.4231
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_6_Story_2,Curve_6,Story_2,6,5.0,5.0,5.0,3.5,5.0,4.0,4.5833,9,5.0,5.0,5.0,3.0,5.0,4.1111,4.5185,9,5.0,5.0,5.0,3.1111,5.0,4.0,4.5185,9,5.0,5.0,5.0,2.7778,5.0,3.8889,4.4444
qwen3:14b-fp16,Climate_Change,Romance,World_Curve_6_Story_3,Curve_6,Story_3,9,5.0,5.0,5.0,3.0,5.0,4.0,4.5,6,5.0,5.0,5.0,2.8333,5.0,4.1667,4.5,9,5.0,5.0,5.0,2.6667,4.8889,4.1111,4.4444,9,5.0,5.0,5.0,2.7778,5.0,4.0,4.463
""
"--- METRIC DEFINITIONS ---"
"RE(Relevance), CH(Coherence), EM(Empathy), SU(Surprise), EG(Engagement), CX(Complexity), OV(Overall)"
"Count(the total number of successfully evaluated story routes)"
