Judge_Model,Theme,Genre,Metric,Comparison,N (A/B),Mean±SD (A),Mean±SD (B),Test_Type,Pairwise_p,Conclusion
qwen3:14b-fp16,Climate_Change,Romance,CH,RAF_NoCritic vs RAF_Critic,130 vs 111,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,EM,AVL_NoCritic vs AVL_Critic,135 vs 133,4.35 ± 0.48,4.25 ± 0.43,Mann-Whitney U,0.0743 nan,AVL_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,EM,AVL_NoCritic vs AVL_Critic,135 vs 133,4.11 ± 0.27,4.06 ± 0.21,Mann-Whitney U,0.0597 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,EM,AVL_NoCritic vs AVL_Critic,135 vs 133,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,EM,RAF_Critic vs AVL_Critic,111 vs 133,4.18 ± 0.39,4.25 ± 0.43,Mann-Whitney U,0.2014 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,EM,RAF_Critic vs AVL_Critic,111 vs 133,4.02 ± 0.12,4.06 ± 0.21,Mann-Whitney U,0.0595 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,EM,RAF_Critic vs AVL_Critic,111 vs 133,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,EM,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.10 ± 0.30,4.35 ± 0.48,Mann-Whitney U,<0.001 ***,AVL_NoCritic significantly better (*)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,EM,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.04 ± 0.17,4.11 ± 0.27,Mann-Whitney U,0.0072 **,AVL_NoCritic significantly better (*)
qwen3:14b-fp16,Climate_Change,Romance,EM,RAF_NoCritic vs AVL_NoCritic,130 vs 135,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,EM,RAF_NoCritic vs RAF_Critic,130 vs 111,4.10 ± 0.30,4.18 ± 0.39,Mann-Whitney U,0.0719 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,EM,RAF_NoCritic vs RAF_Critic,130 vs 111,4.04 ± 0.17,4.02 ± 0.12,Mann-Whitney U,0.2586 nan,RAF_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,EM,RAF_NoCritic vs RAF_Critic,130 vs 111,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,SU,AVL_NoCritic vs AVL_Critic,135 vs 133,3.05 ± 0.25,3.05 ± 0.22,Mann-Whitney U,0.9908 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,SU,AVL_NoCritic vs AVL_Critic,135 vs 133,3.35 ± 0.45,3.35 ± 0.47,Mann-Whitney U,0.8584 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,SU,AVL_NoCritic vs AVL_Critic,135 vs 133,2.97 ± 0.42,2.96 ± 0.38,Mann-Whitney U,0.8890 nan,AVL_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,SU,RAF_Critic vs AVL_Critic,111 vs 133,3.02 ± 0.23,3.05 ± 0.22,Mann-Whitney U,0.2456 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,SU,RAF_Critic vs AVL_Critic,111 vs 133,3.34 ± 0.47,3.35 ± 0.47,Mann-Whitney U,0.8713 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,SU,RAF_Critic vs AVL_Critic,111 vs 133,2.98 ± 0.36,2.96 ± 0.38,Mann-Whitney U,0.6766 nan,RAF_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,SU,RAF_NoCritic vs AVL_NoCritic,130 vs 135,3.00 ± 0.12,3.05 ± 0.25,Mann-Whitney U,0.0364 *,AVL_NoCritic significantly better (*)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,SU,RAF_NoCritic vs AVL_NoCritic,130 vs 135,3.32 ± 0.46,3.35 ± 0.45,Mann-Whitney U,0.4664 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,SU,RAF_NoCritic vs AVL_NoCritic,130 vs 135,2.99 ± 0.37,2.97 ± 0.42,Mann-Whitney U,0.7437 nan,RAF_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,SU,RAF_NoCritic vs RAF_Critic,130 vs 111,3.00 ± 0.12,3.02 ± 0.23,Mann-Whitney U,0.4427 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,SU,RAF_NoCritic vs RAF_Critic,130 vs 111,3.32 ± 0.46,3.34 ± 0.47,Mann-Whitney U,0.7398 nan,RAF_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,SU,RAF_NoCritic vs RAF_Critic,130 vs 111,2.99 ± 0.37,2.98 ± 0.36,Mann-Whitney U,0.9486 nan,RAF_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,EG,AVL_NoCritic vs AVL_Critic,135 vs 133,4.57 ± 0.50,4.49 ± 0.50,Mann-Whitney U,0.1817 nan,AVL_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,EG,AVL_NoCritic vs AVL_Critic,135 vs 133,4.23 ± 0.39,4.25 ± 0.42,Mann-Whitney U,0.8473 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,EG,AVL_NoCritic vs AVL_Critic,135 vs 133,4.96 ± 0.19,4.98 ± 0.15,Mann-Whitney U,0.4886 nan,AVL_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,EG,RAF_Critic vs AVL_Critic,111 vs 133,4.47 ± 0.50,4.49 ± 0.50,Mann-Whitney U,0.7538 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,EG,RAF_Critic vs AVL_Critic,111 vs 133,4.20 ± 0.39,4.25 ± 0.42,Mann-Whitney U,0.2293 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,EG,RAF_Critic vs AVL_Critic,111 vs 133,5.00 ± 0.00,4.98 ± 0.15,Mann-Whitney U,0.1132 nan,RAF_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,EG,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.41 ± 0.49,4.57 ± 0.50,Mann-Whitney U,0.0082 **,AVL_NoCritic significantly better (*)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,EG,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.17 ± 0.37,4.23 ± 0.39,Mann-Whitney U,0.1001 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,EG,RAF_NoCritic vs AVL_NoCritic,130 vs 135,5.00 ± 0.00,4.96 ± 0.19,Mann-Whitney U,0.0273 *,RAF_NoCritic significantly better (*)
gemma3:12b-it-fp16,Climate_Change,Romance,EG,RAF_NoCritic vs RAF_Critic,130 vs 111,4.41 ± 0.49,4.47 ± 0.50,Mann-Whitney U,0.3445 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,EG,RAF_NoCritic vs RAF_Critic,130 vs 111,4.17 ± 0.37,4.20 ± 0.39,Mann-Whitney U,0.6384 nan,RAF_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,EG,RAF_NoCritic vs RAF_Critic,130 vs 111,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,CX,AVL_NoCritic vs AVL_Critic,135 vs 133,4.01 ± 0.23,3.99 ± 0.23,Mann-Whitney U,0.5951 nan,AVL_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,CX,AVL_NoCritic vs AVL_Critic,135 vs 133,4.03 ± 0.18,4.01 ± 0.19,Mann-Whitney U,0.4830 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,CX,AVL_NoCritic vs AVL_Critic,135 vs 133,3.98 ± 0.40,3.98 ± 0.33,Mann-Whitney U,0.7424 nan,AVL_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,CX,RAF_Critic vs AVL_Critic,111 vs 133,3.96 ± 0.28,3.99 ± 0.23,Mann-Whitney U,0.2516 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,CX,RAF_Critic vs AVL_Critic,111 vs 133,4.01 ± 0.15,4.01 ± 0.19,Mann-Whitney U,0.6670 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,CX,RAF_Critic vs AVL_Critic,111 vs 133,4.08 ± 0.33,3.98 ± 0.33,Mann-Whitney U,0.0247 *,RAF_Critic significantly better (*)
gemma3:12b-it-fp16,Climate_Change,Romance,CX,RAF_NoCritic vs AVL_NoCritic,130 vs 135,3.97 ± 0.25,4.01 ± 0.23,Mann-Whitney U,0.1925 nan,AVL_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,CX,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.02 ± 0.20,4.03 ± 0.18,Mann-Whitney U,0.5027 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,CX,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.05 ± 0.33,3.98 ± 0.40,Mann-Whitney U,0.0972 nan,RAF_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,CX,RAF_NoCritic vs RAF_Critic,130 vs 111,3.97 ± 0.25,3.96 ± 0.28,Mann-Whitney U,0.6715 nan,RAF_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,CX,RAF_NoCritic vs RAF_Critic,130 vs 111,4.02 ± 0.20,4.01 ± 0.15,Mann-Whitney U,0.6527 nan,RAF_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,CX,RAF_NoCritic vs RAF_Critic,130 vs 111,4.05 ± 0.33,4.08 ± 0.33,Mann-Whitney U,0.4170 nan,RAF_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,OV,AVL_NoCritic vs AVL_Critic,135 vs 133,4.29 ± 0.17,4.27 ± 0.16,Mann-Whitney U,0.2170 nan,AVL_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,OV,AVL_NoCritic vs AVL_Critic,135 vs 133,4.18 ± 0.22,4.19 ± 0.22,Mann-Whitney U,0.4681 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,OV,AVL_NoCritic vs AVL_Critic,135 vs 133,4.48 ± 0.11,4.49 ± 0.09,Mann-Whitney U,0.6086 nan,AVL_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,OV,RAF_Critic vs AVL_Critic,111 vs 133,4.24 ± 0.18,4.27 ± 0.16,Mann-Whitney U,0.5365 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,OV,RAF_Critic vs AVL_Critic,111 vs 133,4.17 ± 0.21,4.19 ± 0.22,Mann-Whitney U,0.3262 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,OV,RAF_Critic vs AVL_Critic,111 vs 133,4.51 ± 0.09,4.49 ± 0.09,Mann-Whitney U,0.1300 nan,RAF_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,OV,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.23 ± 0.14,4.29 ± 0.17,Mann-Whitney U,0.0033 **,AVL_NoCritic significantly better (*)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,OV,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.15 ± 0.21,4.18 ± 0.22,Mann-Whitney U,0.4347 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,OV,RAF_NoCritic vs AVL_NoCritic,130 vs 135,4.51 ± 0.08,4.48 ± 0.11,Mann-Whitney U,0.2471 nan,RAF_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,Romance,OV,RAF_NoCritic vs RAF_Critic,130 vs 111,4.23 ± 0.14,4.24 ± 0.18,Mann-Whitney U,0.3019 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,Romance,OV,RAF_NoCritic vs RAF_Critic,130 vs 111,4.15 ± 0.21,4.17 ± 0.21,Mann-Whitney U,0.6176 nan,RAF_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,Romance,OV,RAF_NoCritic vs RAF_Critic,130 vs 111,4.51 ± 0.08,4.51 ± 0.09,Mann-Whitney U,0.9110 nan,RAF_Critic higher (ns)
""
"--- STATISTICAL SIGNIFICANCE NOTES ---"
"Note: Statistical tests were conducted across all specified metrics (RE, CH, EM, SU, EG, CX, OV)."
"(*): p < 0.05, (**): p < 0.01, (***): p < 0.001"
"(ns): Not significant (p >= 0.05)"
"If p=0, it is formatted as <0.001 for academic compliance."
