Judge_Model,Theme,Metric,Comparison,N (A/B),Mean±SD (A),Mean±SD (B),Test_Type,Pairwise_p,Conclusion
mistral:7b-instruct-v0.3-fp16,Climate_Change,EM,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.10 ± 0.25,4.24 ± 0.36,Mann-Whitney U,0.0238 *,AVL_NoCritic significantly better (*)
qwen3:14b-fp16,Climate_Change,EM,RAF_NoCritic vs AVL_NoCritic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,EM,RAF_NoCritic vs RAF_Critic,54 vs 54,4.20 ± 0.41,4.33 ± 0.48,Mann-Whitney U,0.1314 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,EM,RAF_NoCritic vs RAF_Critic,54 vs 54,4.10 ± 0.25,4.05 ± 0.18,Mann-Whitney U,0.1446 nan,RAF_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,EM,RAF_NoCritic vs RAF_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,SU,AVL_NoCritic vs AVL_Critic,54 vs 54,3.15 ± 0.36,3.13 ± 0.34,Mann-Whitney U,0.7858 nan,AVL_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,SU,AVL_NoCritic vs AVL_Critic,54 vs 54,3.78 ± 0.36,3.73 ± 0.43,Mann-Whitney U,0.7247 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,SU,AVL_NoCritic vs AVL_Critic,54 vs 54,3.16 ± 0.41,3.11 ± 0.32,Mann-Whitney U,0.4337 nan,AVL_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,SU,RAF_Critic vs AVL_Critic,54 vs 54,3.07 ± 0.26,3.13 ± 0.34,Mann-Whitney U,0.3451 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,SU,RAF_Critic vs AVL_Critic,54 vs 54,3.56 ± 0.50,3.73 ± 0.43,Mann-Whitney U,0.0765 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,SU,RAF_Critic vs AVL_Critic,54 vs 54,3.09 ± 0.35,3.11 ± 0.32,Mann-Whitney U,0.7979 nan,AVL_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,SU,RAF_NoCritic vs AVL_NoCritic,54 vs 54,3.02 ± 0.14,3.15 ± 0.36,Mann-Whitney U,0.0155 *,AVL_NoCritic significantly better (*)
mistral:7b-instruct-v0.3-fp16,Climate_Change,SU,RAF_NoCritic vs AVL_NoCritic,54 vs 54,3.66 ± 0.45,3.78 ± 0.36,Mann-Whitney U,0.1722 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,SU,RAF_NoCritic vs AVL_NoCritic,54 vs 54,3.15 ± 0.36,3.16 ± 0.41,Mann-Whitney U,0.8053 nan,AVL_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,SU,RAF_NoCritic vs RAF_Critic,54 vs 54,3.02 ± 0.14,3.07 ± 0.26,Mann-Whitney U,0.1741 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,SU,RAF_NoCritic vs RAF_Critic,54 vs 54,3.66 ± 0.45,3.56 ± 0.50,Mann-Whitney U,0.3577 nan,RAF_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,SU,RAF_NoCritic vs RAF_Critic,54 vs 54,3.15 ± 0.36,3.09 ± 0.35,Mann-Whitney U,0.4330 nan,RAF_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,EG,AVL_NoCritic vs AVL_Critic,54 vs 54,4.85 ± 0.36,4.80 ± 0.41,Mann-Whitney U,0.4533 nan,AVL_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,EG,AVL_NoCritic vs AVL_Critic,54 vs 54,4.54 ± 0.45,4.54 ± 0.48,Mann-Whitney U,0.9704 nan,Tie (ns)
qwen3:14b-fp16,Climate_Change,EG,AVL_NoCritic vs AVL_Critic,54 vs 54,4.98 ± 0.14,5.00 ± 0.00,Mann-Whitney U,0.3264 nan,AVL_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,EG,RAF_Critic vs AVL_Critic,54 vs 54,4.70 ± 0.46,4.80 ± 0.41,Mann-Whitney U,0.2705 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,EG,RAF_Critic vs AVL_Critic,54 vs 54,4.39 ± 0.48,4.54 ± 0.48,Mann-Whitney U,0.1116 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,EG,RAF_Critic vs AVL_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,EG,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.69 ± 0.47,4.85 ± 0.36,Mann-Whitney U,0.0414 *,AVL_NoCritic significantly better (*)
mistral:7b-instruct-v0.3-fp16,Climate_Change,EG,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.39 ± 0.47,4.54 ± 0.45,Mann-Whitney U,0.0923 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,EG,RAF_NoCritic vs AVL_NoCritic,54 vs 54,5.00 ± 0.00,4.98 ± 0.14,Mann-Whitney U,0.3264 nan,RAF_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,EG,RAF_NoCritic vs RAF_Critic,54 vs 54,4.69 ± 0.47,4.70 ± 0.46,Mann-Whitney U,0.8383 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,EG,RAF_NoCritic vs RAF_Critic,54 vs 54,4.39 ± 0.47,4.39 ± 0.48,Mann-Whitney U,0.9690 nan,Tie (ns)
qwen3:14b-fp16,Climate_Change,EG,RAF_NoCritic vs RAF_Critic,54 vs 54,5.00 ± 0.00,5.00 ± 0.00,Mann-Whitney U,1.0000 nan,Tie (ns)
gemma3:12b-it-fp16,Climate_Change,CX,AVL_NoCritic vs AVL_Critic,54 vs 54,4.04 ± 0.19,4.06 ± 0.23,Mann-Whitney U,0.6546 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,CX,AVL_NoCritic vs AVL_Critic,54 vs 54,4.09 ± 0.24,4.07 ± 0.23,Mann-Whitney U,0.5873 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,CX,AVL_NoCritic vs AVL_Critic,54 vs 54,4.10 ± 0.38,4.11 ± 0.32,Mann-Whitney U,0.8337 nan,AVL_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,CX,RAF_Critic vs AVL_Critic,54 vs 54,4.02 ± 0.14,4.06 ± 0.23,Mann-Whitney U,0.3149 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,CX,RAF_Critic vs AVL_Critic,54 vs 54,4.02 ± 0.22,4.07 ± 0.23,Mann-Whitney U,0.2015 nan,AVL_Critic higher (ns)
qwen3:14b-fp16,Climate_Change,CX,RAF_Critic vs AVL_Critic,54 vs 54,4.19 ± 0.44,4.11 ± 0.32,Mann-Whitney U,0.2933 nan,RAF_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,CX,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.04 ± 0.19,4.04 ± 0.19,Mann-Whitney U,1.0000 nan,Tie (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,CX,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.07 ± 0.23,4.09 ± 0.24,Mann-Whitney U,0.5873 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,CX,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.13 ± 0.44,4.10 ± 0.38,Mann-Whitney U,0.6458 nan,RAF_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,CX,RAF_NoCritic vs RAF_Critic,54 vs 54,4.04 ± 0.19,4.02 ± 0.14,Mann-Whitney U,0.5673 nan,RAF_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,CX,RAF_NoCritic vs RAF_Critic,54 vs 54,4.07 ± 0.23,4.02 ± 0.22,Mann-Whitney U,0.2015 nan,RAF_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,CX,RAF_NoCritic vs RAF_Critic,54 vs 54,4.13 ± 0.44,4.19 ± 0.44,Mann-Whitney U,0.5228 nan,RAF_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,OV,AVL_NoCritic vs AVL_Critic,54 vs 54,4.41 ± 0.14,4.38 ± 0.15,Mann-Whitney U,0.1323 nan,AVL_NoCritic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,OV,AVL_NoCritic vs AVL_Critic,54 vs 54,4.39 ± 0.17,4.38 ± 0.17,Mann-Whitney U,0.8809 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,OV,AVL_NoCritic vs AVL_Critic,54 vs 54,4.54 ± 0.07,4.54 ± 0.07,Mann-Whitney U,0.6939 nan,AVL_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,OV,RAF_Critic vs AVL_Critic,54 vs 54,4.34 ± 0.14,4.38 ± 0.15,Mann-Whitney U,0.2846 nan,AVL_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,OV,RAF_Critic vs AVL_Critic,54 vs 54,4.27 ± 0.23,4.38 ± 0.17,Mann-Whitney U,0.0128 *,AVL_Critic significantly better (*)
qwen3:14b-fp16,Climate_Change,OV,RAF_Critic vs AVL_Critic,54 vs 54,4.55 ± 0.11,4.54 ± 0.07,Mann-Whitney U,0.9449 nan,RAF_Critic higher (ns)
gemma3:12b-it-fp16,Climate_Change,OV,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.32 ± 0.11,4.41 ± 0.14,Mann-Whitney U,<0.001 ***,AVL_NoCritic significantly better (*)
mistral:7b-instruct-v0.3-fp16,Climate_Change,OV,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.32 ± 0.19,4.39 ± 0.17,Mann-Whitney U,0.0755 nan,AVL_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,OV,RAF_NoCritic vs AVL_NoCritic,54 vs 54,4.55 ± 0.08,4.54 ± 0.07,Mann-Whitney U,0.7859 nan,RAF_NoCritic higher (ns)
gemma3:12b-it-fp16,Climate_Change,OV,RAF_NoCritic vs RAF_Critic,54 vs 54,4.32 ± 0.11,4.34 ± 0.14,Mann-Whitney U,0.3481 nan,RAF_Critic higher (ns)
mistral:7b-instruct-v0.3-fp16,Climate_Change,OV,RAF_NoCritic vs RAF_Critic,54 vs 54,4.32 ± 0.19,4.27 ± 0.23,Mann-Whitney U,0.3452 nan,RAF_NoCritic higher (ns)
qwen3:14b-fp16,Climate_Change,OV,RAF_NoCritic vs RAF_Critic,54 vs 54,4.55 ± 0.08,4.55 ± 0.11,Mann-Whitney U,0.6236 nan,Tie (ns)
""
"--- STATISTICAL SIGNIFICANCE NOTES ---"
"Note: Statistical tests were conducted across all specified metrics (RE, CH, EM, SU, EG, CX, OV)."
"(*): p < 0.05, (**): p < 0.01, (***): p < 0.001"
"(ns): Not significant (p >= 0.05)"
"If p=0, it is formatted as <0.001 for academic compliance."
